sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,645.0,309.0,646.0,642.0
1,5,648.0,253.0,660.0,651.0
2,10,649.0,253.0,629.0,642.0
3,15,648.0,304.0,644.0,653.0
4,20,648.0,242.0,647.0,649.0
5,25,642.0,302.0,646.0,642.0
6,30,642.0,254.0,653.0,655.0
7,35,653.0,236.0,634.0,637.0
8,40,645.0,300.0,651.0,651.0
9,45,651.0,237.0,617.0,647.0
10,50,645.0,287.0,628.0,643.0
11,55,656.0,217.0,644.0,643.0
12,60,635.0,233.0,658.0,650.0
13,65,654.0,302.0,661.0,645.0
14,70,645.0,239.0,638.0,652.0
15,75,641.0,295.0,652.0,644.0
16,80,647.0,246.0,657.0,671.0
17,85,647.0,216.0,636.0,660.0
18,90,641.0,290.0,635.0,650.0
19,95,645.0,233.0,655.0,647.0
20,100,652.0,300.0,640.0,634.0
21,105,645.0,244.0,661.0,645.0
22,110,639.0,245.0,655.0,654.0
23,115,650.0,295.0,647.0,649.0
24,120,648.0,238.0,642.0,653.0
25,125,645.0,305.0,646.0,650.0
26,130,655.0,243.0,648.0,655.0
27,135,646.0,242.0,645.0,651.0
28,140,654.0,286.0,640.0,648.0
29,145,646.0,237.0,649.0,650.0
30,150,658.0,315.0,645.0,645.0
31,155,643.0,232.0,640.0,660.0
32,160,645.0,248.0,649.0,646.0
33,165,650.0,294.0,648.0,639.0
34,170,655.0,245.0,646.0,644.0
35,175,647.0,308.0,641.0,645.0
36,180,651.0,240.0,647.0,653.0
37,185,645.0,248.0,644.0,641.0
38,190,647.0,312.0,647.0,638.0
39,195,645.0,234.0,656.0,641.0
40,200,643.0,301.0,650.0,661.0
41,205,645.0,235.0,635.0,648.0
42,210,646.0,252.0,659.0,640.0
43,215,648.0,291.0,646.0,645.0
44,220,651.0,215.0,639.0,649.0
45,225,650.0,310.0,640.0,652.0
46,230,652.0,241.0,664.0,647.0
47,235,651.0,260.0,645.0,640.0
48,240,635.0,318.0,653.0,626.0
49,245,649.0,239.0,644.0,638.0
50,250,646.0,313.0,648.0,646.0
51,255,646.0,234.0,646.0,638.0
52,260,641.0,249.0,652.0,656.0
53,265,653.0,282.0,634.0,652.0
54,270,647.0,246.0,644.0,643.0
55,275,647.0,322.0,652.0,646.0
56,280,644.0,236.0,641.0,667.0
57,285,647.0,254.0,649.0,637.0
58,290,650.0,302.0,650.0,649.0
59,295,650.0,245.0,647.0,652.0
60,300,647.0,305.0,650.0,647.0
61,305,648.0,239.0,641.0,638.0
62,310,641.0,236.0,640.0,638.0
63,315,653.0,301.0,646.0,657.0
64,320,652.0,244.0,647.0,648.0
65,325,646.0,322.0,642.0,645.0
66,330,645.0,219.0,664.0,650.0
67,335,640.0,282.0,654.0,645.0
68,340,651.0,276.0,651.0,638.0
69,345,647.0,258.0,649.0,654.0
70,350,646.0,271.0,638.0,653.0
71,355,636.0,237.0,638.0,657.0
72,360,648.0,230.0,638.0,657.0
73,365,646.0,292.0,646.0,650.0
74,370,638.0,246.0,641.0,646.0
75,375,647.0,308.0,646.0,651.0
76,380,650.0,210.0,646.0,647.0
77,385,642.0,260.0,638.0,651.0
78,390,649.0,270.0,652.0,658.0
79,395,648.0,244.0,644.0,645.0
80,400,651.0,311.0,623.0,648.0
81,405,655.0,232.0,665.0,647.0
82,410,643.0,270.0,639.0,646.0
83,415,653.0,283.0,651.0,656.0
84,420,654.0,267.0,642.0,650.0
85,425,645.0,304.0,644.0,633.0
86,430,658.0,221.0,633.0,651.0
87,435,644.0,256.0,657.0,642.0
88,440,652.0,279.0,637.0,643.0
89,445,659.0,245.0,651.0,642.0
90,450,644.0,323.0,643.0,667.0
91,455,651.0,234.0,644.0,633.0
92,460,640.0,252.0,660.0,667.0
93,465,650.0,288.0,644.0,642.0
94,470,650.0,234.0,641.0,653.0
95,475,644.0,292.0,654.0,645.0
96,480,652.0,225.0,649.0,649.0
97,485,649.0,262.0,648.0,637.0
98,490,655.0,279.0,647.0,647.0
99,495,645.0,241.0,644.0,629.0
100,500,654.0,330.0,641.0,644.0
101,505,649.0,246.0,643.0,655.0
102,510,649.0,264.0,656.0,650.0
103,515,647.0,278.0,663.0,646.0
104,520,648.0,263.0,644.0,647.0
105,525,645.0,313.0,649.0,657.0
106,530,651.0,247.0,662.0,640.0
107,535,651.0,264.0,644.0,648.0
108,540,653.0,284.0,660.0,661.0
109,545,640.0,263.0,647.0,631.0
110,550,649.0,312.0,657.0,647.0
111,555,639.0,233.0,642.0,649.0
112,560,643.0,258.0,647.0,645.0
113,565,649.0,263.0,660.0,638.0
114,570,647.0,240.0,638.0,656.0
115,575,653.0,306.0,648.0,642.0
116,580,646.0,252.0,645.0,643.0
117,585,648.0,285.0,656.0,654.0
118,590,647.0,274.0,655.0,668.0
119,595,643.0,231.0,629.0,649.0
120,600,648.0,321.0,657.0,645.0
121,605,651.0,243.0,654.0,645.0
122,610,652.0,271.0,641.0,649.0
123,615,654.0,270.0,651.0,667.0
124,620,641.0,245.0,655.0,629.0
125,625,648.0,311.0,631.0,628.0
126,630,657.0,239.0,650.0,646.0
127,635,647.0,264.0,648.0,647.0
128,640,645.0,265.0,659.0,633.0
129,645,650.0,238.0,648.0,645.0
