sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,654.0,279.0,631.0,639.0
1,5,648.0,270.0,650.0,642.0
2,10,649.0,244.0,640.0,649.0
3,15,652.0,310.0,626.0,649.0
4,20,646.0,226.0,640.0,650.0
5,25,647.0,261.0,647.0,668.0
6,30,653.0,281.0,649.0,652.0
7,35,647.0,243.0,652.0,650.0
8,40,653.0,332.0,647.0,649.0
9,45,638.0,247.0,645.0,648.0
10,50,647.0,256.0,647.0,629.0
11,55,645.0,272.0,652.0,642.0
12,60,643.0,258.0,662.0,646.0
13,65,644.0,314.0,643.0,656.0
14,70,641.0,247.0,651.0,643.0
15,75,663.0,260.0,636.0,655.0
16,80,644.0,262.0,647.0,649.0
17,85,645.0,253.0,636.0,645.0
18,90,646.0,317.0,643.0,646.0
19,95,637.0,240.0,656.0,644.0
20,100,643.0,251.0,651.0,647.0
21,105,634.0,274.0,668.0,650.0
22,110,656.0,236.0,644.0,647.0
23,115,644.0,309.0,634.0,651.0
24,120,635.0,235.0,646.0,647.0
25,125,662.0,275.0,646.0,646.0
26,130,644.0,261.0,660.0,653.0
27,135,646.0,255.0,646.0,658.0
28,140,651.0,311.0,646.0,648.0
29,145,640.0,225.0,636.0,648.0
30,150,636.0,261.0,633.0,637.0
31,155,645.0,273.0,654.0,652.0
32,160,642.0,240.0,656.0,643.0
33,165,652.0,317.0,658.0,651.0
34,170,646.0,237.0,646.0,644.0
35,175,644.0,256.0,638.0,645.0
36,180,641.0,263.0,645.0,646.0
37,185,634.0,248.0,640.0,648.0
38,190,655.0,291.0,643.0,638.0
39,195,637.0,245.0,646.0,642.0
40,200,640.0,271.0,637.0,649.0
41,205,648.0,284.0,638.0,646.0
42,210,648.0,239.0,650.0,648.0
43,215,645.0,321.0,652.0,647.0
44,220,646.0,232.0,650.0,641.0
45,225,636.0,262.0,647.0,644.0
46,230,643.0,262.0,653.0,646.0
47,235,637.0,198.0,653.0,650.0
48,240,650.0,299.0,644.0,645.0
49,245,646.0,244.0,649.0,642.0
50,250,643.0,267.0,662.0,641.0
51,255,643.0,270.0,641.0,647.0
52,260,645.0,230.0,648.0,640.0
53,265,650.0,329.0,666.0,645.0
54,270,651.0,232.0,659.0,645.0
55,275,650.0,270.0,648.0,666.0
56,280,637.0,260.0,645.0,647.0
57,285,649.0,213.0,652.0,637.0
58,290,648.0,311.0,663.0,644.0
59,295,648.0,221.0,645.0,652.0
60,300,649.0,292.0,645.0,639.0
61,305,643.0,293.0,647.0,644.0
62,310,645.0,246.0,645.0,637.0
63,315,645.0,311.0,643.0,651.0
64,320,641.0,236.0,658.0,634.0
65,325,654.0,294.0,647.0,647.0
66,330,645.0,258.0,624.0,650.0
67,335,644.0,257.0,643.0,644.0
68,340,641.0,312.0,644.0,648.0
69,345,645.0,238.0,651.0,666.0
70,350,644.0,266.0,643.0,651.0
71,355,638.0,268.0,661.0,646.0
72,360,648.0,257.0,634.0,652.0
73,365,643.0,297.0,645.0,646.0
74,370,642.0,243.0,649.0,644.0
75,375,652.0,274.0,651.0,643.0
76,380,643.0,274.0,656.0,633.0
77,385,643.0,257.0,652.0,642.0
78,390,650.0,293.0,644.0,647.0
79,395,645.0,240.0,645.0,647.0
80,400,647.0,267.0,639.0,651.0
81,405,651.0,270.0,653.0,650.0
82,410,637.0,244.0,637.0,645.0
83,415,652.0,314.0,640.0,654.0
84,420,644.0,251.0,655.0,639.0
85,425,642.0,285.0,636.0,636.0
86,430,647.0,264.0,647.0,645.0
87,435,644.0,261.0,646.0,646.0
88,440,646.0,303.0,649.0,644.0
89,445,645.0,246.0,656.0,637.0
90,450,648.0,276.0,638.0,643.0
91,455,637.0,265.0,626.0,631.0
92,460,646.0,263.0,644.0,643.0
93,465,650.0,307.0,646.0,649.0
94,470,644.0,231.0,646.0,649.0
95,475,642.0,261.0,647.0,653.0
96,480,643.0,267.0,661.0,639.0
97,485,647.0,241.0,639.0,634.0
98,490,642.0,302.0,641.0,638.0
99,495,643.0,241.0,649.0,657.0
100,500,645.0,280.0,620.0,651.0
101,505,648.0,265.0,651.0,641.0
102,510,647.0,243.0,652.0,643.0
103,515,650.0,320.0,649.0,642.0
104,520,643.0,231.0,647.0,636.0
105,525,648.0,313.0,633.0,645.0
106,530,645.0,260.0,652.0,660.0
107,535,645.0,236.0,635.0,646.0
108,540,649.0,318.0,641.0,650.0
109,545,644.0,235.0,653.0,652.0
110,550,652.0,281.0,634.0,652.0
111,555,645.0,249.0,655.0,649.0
112,560,643.0,240.0,649.0,652.0
113,565,652.0,308.0,650.0,655.0
114,570,639.0,229.0,643.0,639.0
115,575,644.0,260.0,642.0,656.0
116,580,651.0,279.0,647.0,650.0
117,585,649.0,247.0,650.0,655.0
118,590,644.0,303.0,631.0,646.0
119,595,652.0,249.0,642.0,655.0
120,600,646.0,277.0,642.0,646.0
121,605,646.0,262.0,644.0,637.0
122,610,645.0,257.0,655.0,644.0
123,615,650.0,311.0,641.0,647.0
124,620,649.0,238.0,649.0,641.0
125,625,647.0,293.0,644.0,648.0
126,630,646.0,265.0,647.0,652.0
127,635,636.0,244.0,631.0,650.0
128,640,656.0,287.0,641.0,637.0
129,645,641.0,245.0,651.0,649.0
130,650,646.0,290.0,644.0,643.0
131,655,648.0,254.0,659.0,631.0
132,660,645.0,246.0,646.0,645.0
133,665,641.0,293.0,644.0,635.0
134,670,650.0,244.0,648.0,651.0
135,675,648.0,271.0,652.0,643.0
136,680,640.0,256.0,654.0,629.0
137,685,639.0,236.0,649.0,651.0
138,690,647.0,307.0,644.0,640.0
139,695,645.0,240.0,640.0,655.0
140,700,656.0,278.0,654.0,650.0
141,705,640.0,259.0,651.0,650.0
142,710,655.0,256.0,642.0,642.0
143,715,646.0,301.0,633.0,632.0
144,720,641.0,248.0,642.0,636.0
145,725,649.0,300.0,640.0,647.0
146,730,649.0,277.0,635.0,635.0
147,735,644.0,253.0,651.0,645.0
148,740,652.0,305.0,645.0,663.0
149,745,651.0,238.0,654.0,645.0
150,750,646.0,265.0,653.0,641.0
151,755,650.0,256.0,660.0,642.0
152,760,642.0,248.0,645.0,644.0
153,765,638.0,306.0,642.0,643.0
154,770,646.0,237.0,662.0,654.0
155,775,650.0,303.0,636.0,659.0
156,780,652.0,255.0,653.0,660.0
157,785,640.0,249.0,646.0,641.0
158,790,648.0,312.0,633.0,648.0
159,795,645.0,240.0,638.0,650.0
160,800,638.0,317.0,649.0,637.0
161,805,651.0,263.0,648.0,644.0
162,810,651.0,252.0,652.0,644.0
163,815,640.0,300.0,642.0,648.0
164,820,640.0,241.0,641.0,645.0
165,825,637.0,290.0,648.0,652.0
166,830,646.0,256.0,645.0,640.0
167,835,658.0,240.0,651.0,652.0
168,840,649.0,306.0,647.0,649.0
169,845,648.0,254.0,643.0,647.0
170,850,649.0,290.0,643.0,645.0
171,855,650.0,259.0,662.0,651.0
172,860,648.0,260.0,649.0,652.0
173,865,648.0,306.0,644.0,659.0
174,870,644.0,227.0,644.0,644.0
175,875,646.0,298.0,632.0,647.0
176,880,647.0,248.0,650.0,644.0
177,885,645.0,244.0,636.0,630.0
178,890,649.0,296.0,652.0,642.0
179,895,643.0,256.0,637.0,653.0
180,900,644.0,297.0,638.0,661.0
181,905,644.0,240.0,648.0,648.0
182,910,636.0,258.0,637.0,638.0
183,915,644.0,303.0,648.0,665.0
184,920,636.0,214.0,641.0,648.0
185,925,654.0,301.0,648.0,664.0
186,930,647.0,247.0,647.0,646.0
187,935,647.0,260.0,650.0,639.0
188,940,650.0,309.0,648.0,647.0
189,945,648.0,245.0,654.0,641.0
190,950,655.0,302.0,641.0,644.0
191,955,644.0,252.0,655.0,644.0
192,960,650.0,252.0,660.0,657.0
193,965,647.0,286.0,644.0,645.0
194,970,647.0,250.0,641.0,652.0
195,975,646.0,298.0,631.0,645.0
196,980,651.0,239.0,652.0,653.0
197,985,645.0,250.0,661.0,647.0
198,990,647.0,290.0,646.0,652.0
199,995,644.0,233.0,638.0,641.0
