sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,646.0,282.0,643.0,650.0
1,5,652.0,245.0,645.0,657.0
2,10,652.0,320.0,651.0,653.0
3,15,641.0,229.0,664.0,642.0
4,20,649.0,278.0,644.0,642.0
5,25,636.0,282.0,643.0,650.0
6,30,646.0,237.0,639.0,646.0
7,35,656.0,313.0,650.0,662.0
8,40,649.0,233.0,642.0,644.0
9,45,647.0,245.0,638.0,665.0
10,50,649.0,281.0,654.0,650.0
11,55,650.0,250.0,658.0,644.0
12,60,647.0,314.0,646.0,646.0
13,65,642.0,250.0,642.0,646.0
14,70,650.0,256.0,651.0,663.0
15,75,640.0,272.0,680.0,651.0
16,80,643.0,238.0,652.0,649.0
17,85,650.0,314.0,639.0,649.0
18,90,638.0,237.0,643.0,649.0
19,95,646.0,267.0,652.0,655.0
20,100,645.0,284.0,675.0,642.0
21,105,646.0,246.0,651.0,642.0
22,110,643.0,307.0,647.0,647.0
23,115,634.0,236.0,646.0,646.0
24,120,631.0,253.0,647.0,657.0
25,125,638.0,273.0,652.0,648.0
26,130,648.0,247.0,642.0,659.0
27,135,656.0,315.0,645.0,647.0
28,140,643.0,229.0,642.0,632.0
29,145,644.0,270.0,651.0,653.0
30,150,640.0,282.0,630.0,626.0
31,155,649.0,239.0,640.0,641.0
32,160,652.0,317.0,645.0,648.0
33,165,645.0,232.0,646.0,650.0
34,170,646.0,266.0,652.0,649.0
35,175,644.0,256.0,650.0,640.0
36,180,642.0,242.0,650.0,650.0
37,185,655.0,309.0,649.0,656.0
38,190,640.0,235.0,651.0,640.0
39,195,643.0,264.0,635.0,647.0
40,200,658.0,261.0,650.0,649.0
41,205,636.0,257.0,649.0,645.0
42,210,651.0,314.0,653.0,645.0
43,215,632.0,249.0,641.0,641.0
44,220,643.0,252.0,641.0,657.0
45,225,644.0,266.0,636.0,639.0
46,230,646.0,249.0,643.0,658.0
47,235,649.0,310.0,637.0,661.0
48,240,623.0,245.0,636.0,640.0
49,245,643.0,262.0,647.0,638.0
50,250,639.0,265.0,640.0,651.0
51,255,648.0,248.0,651.0,648.0
52,260,648.0,298.0,651.0,662.0
53,265,645.0,229.0,653.0,642.0
54,270,655.0,263.0,647.0,642.0
55,275,644.0,266.0,631.0,644.0
56,280,648.0,256.0,666.0,654.0
57,285,660.0,304.0,638.0,650.0
58,290,648.0,254.0,640.0,645.0
59,295,644.0,279.0,645.0,650.0
60,300,641.0,241.0,642.0,649.0
61,305,653.0,245.0,651.0,656.0
62,310,653.0,289.0,649.0,641.0
63,315,640.0,234.0,644.0,646.0
64,320,645.0,295.0,654.0,648.0
65,325,645.0,243.0,645.0,638.0
66,330,648.0,243.0,650.0,646.0
67,335,653.0,292.0,646.0,655.0
68,340,639.0,251.0,649.0,659.0
69,345,654.0,285.0,649.0,661.0
70,350,641.0,274.0,649.0,650.0
71,355,650.0,236.0,642.0,648.0
72,360,644.0,322.0,641.0,648.0
73,365,646.0,250.0,654.0,651.0
74,370,649.0,267.0,662.0,653.0
75,375,652.0,261.0,640.0,650.0
76,380,648.0,260.0,640.0,652.0
77,385,645.0,302.0,658.0,635.0
78,390,640.0,218.0,643.0,642.0
79,395,646.0,270.0,645.0,642.0
80,400,649.0,279.0,653.0,643.0
81,405,646.0,244.0,645.0,643.0
82,410,648.0,321.0,644.0,661.0
83,415,641.0,244.0,650.0,642.0
84,420,648.0,276.0,647.0,656.0
85,425,643.0,243.0,645.0,649.0
86,430,643.0,248.0,643.0,639.0
87,435,654.0,298.0,648.0,658.0
88,440,646.0,223.0,645.0,650.0
89,445,651.0,280.0,639.0,646.0
90,450,642.0,258.0,643.0,651.0
91,455,645.0,246.0,648.0,665.0
92,460,648.0,295.0,657.0,649.0
93,465,633.0,219.0,653.0,653.0
94,470,652.0,286.0,629.0,645.0
95,475,641.0,282.0,632.0,634.0
96,480,649.0,244.0,648.0,647.0
97,485,650.0,303.0,631.0,655.0
98,490,649.0,231.0,663.0,638.0
99,495,644.0,276.0,651.0,644.0
100,500,648.0,261.0,646.0,650.0
101,505,644.0,246.0,649.0,642.0
102,510,649.0,299.0,628.0,639.0
103,515,648.0,228.0,645.0,641.0
104,520,647.0,275.0,665.0,650.0
105,525,648.0,284.0,650.0,635.0
106,530,646.0,245.0,658.0,640.0
107,535,644.0,311.0,668.0,636.0
108,540,649.0,242.0,643.0,642.0
109,545,651.0,282.0,656.0,657.0
110,550,641.0,275.0,631.0,644.0
111,555,654.0,252.0,651.0,651.0
112,560,646.0,305.0,644.0,640.0
113,565,651.0,241.0,657.0,639.0
114,570,651.0,272.0,647.0,655.0
115,575,647.0,262.0,638.0,640.0
116,580,652.0,253.0,652.0,636.0
117,585,647.0,304.0,658.0,641.0
118,590,647.0,257.0,648.0,643.0
119,595,651.0,282.0,656.0,655.0
120,600,647.0,261.0,653.0,652.0
121,605,641.0,254.0,647.0,649.0
122,610,648.0,304.0,649.0,647.0
123,615,646.0,239.0,629.0,652.0
124,620,647.0,275.0,649.0,662.0
125,625,641.0,273.0,656.0,640.0
126,630,643.0,230.0,646.0,642.0
127,635,651.0,305.0,638.0,657.0
128,640,641.0,262.0,641.0,655.0
129,645,644.0,288.0,641.0,650.0
130,650,651.0,261.0,646.0,640.0
131,655,646.0,267.0,654.0,638.0
132,660,645.0,299.0,645.0,638.0
133,665,641.0,237.0,644.0,642.0
134,670,641.0,287.0,661.0,651.0
135,675,656.0,273.0,667.0,633.0
136,680,654.0,252.0,651.0,659.0
137,685,649.0,303.0,641.0,641.0
138,690,638.0,240.0,653.0,643.0
139,695,649.0,288.0,647.0,644.0
140,700,645.0,254.0,648.0,644.0
141,705,648.0,249.0,652.0,646.0
142,710,649.0,293.0,648.0,645.0
143,715,649.0,251.0,652.0,645.0
144,720,649.0,273.0,651.0,649.0
145,725,646.0,231.0,642.0,641.0
146,730,644.0,261.0,635.0,648.0
147,735,648.0,308.0,652.0,641.0
148,740,641.0,243.0,647.0,630.0
149,745,653.0,279.0,628.0,650.0
150,750,641.0,220.0,655.0,624.0
151,755,640.0,244.0,646.0,646.0
152,760,646.0,309.0,648.0,643.0
153,765,647.0,246.0,643.0,641.0
154,770,646.0,287.0,636.0,643.0
155,775,648.0,265.0,649.0,643.0
156,780,649.0,254.0,640.0,662.0
157,785,647.0,300.0,655.0,623.0
158,790,648.0,238.0,640.0,649.0
159,795,640.0,306.0,648.0,652.0
160,800,646.0,258.0,644.0,641.0
161,805,654.0,266.0,656.0,644.0
162,810,649.0,303.0,645.0,649.0
163,815,642.0,233.0,654.0,644.0
164,820,651.0,290.0,637.0,662.0
165,825,644.0,285.0,649.0,645.0
166,830,658.0,239.0,660.0,647.0
167,835,645.0,303.0,645.0,639.0
168,840,643.0,235.0,662.0,654.0
169,845,644.0,289.0,658.0,634.0
170,850,648.0,261.0,646.0,643.0
171,855,655.0,252.0,633.0,646.0
172,860,652.0,301.0,640.0,658.0
173,865,645.0,232.0,652.0,664.0
174,870,647.0,295.0,646.0,652.0
175,875,645.0,277.0,648.0,642.0
176,880,647.0,263.0,650.0,649.0
177,885,649.0,288.0,627.0,648.0
178,890,648.0,230.0,643.0,636.0
179,895,640.0,290.0,662.0,653.0
180,900,642.0,250.0,652.0,631.0
181,905,629.0,255.0,647.0,655.0
182,910,646.0,293.0,642.0,650.0
183,915,645.0,232.0,641.0,648.0
184,920,644.0,311.0,640.0,647.0
185,925,650.0,250.0,641.0,634.0
186,930,638.0,248.0,651.0,647.0
187,935,644.0,291.0,641.0,642.0
188,940,647.0,230.0,648.0,653.0
189,945,655.0,304.0,649.0,643.0
190,950,653.0,250.0,662.0,643.0
191,955,643.0,244.0,656.0,648.0
192,960,647.0,289.0,639.0,647.0
193,965,639.0,241.0,654.0,646.0
194,970,641.0,292.0,659.0,642.0
195,975,655.0,244.0,615.0,638.0
196,980,642.0,237.0,643.0,648.0
197,985,640.0,300.0,658.0,647.0
198,990,644.0,226.0,647.0,649.0
199,995,655.0,309.0,651.0,658.0
