sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,647.0,316.0,633.0,650.0
1,5,658.0,238.0,646.0,648.0
2,10,653.0,265.0,649.0,649.0
3,15,642.0,262.0,645.0,654.0
4,20,654.0,240.0,650.0,653.0
5,25,645.0,312.0,651.0,641.0
6,30,643.0,239.0,639.0,636.0
7,35,650.0,278.0,636.0,636.0
8,40,645.0,260.0,651.0,648.0
9,45,657.0,253.0,649.0,645.0
10,50,649.0,310.0,653.0,650.0
11,55,648.0,247.0,651.0,646.0
12,60,644.0,293.0,650.0,654.0
13,65,649.0,260.0,641.0,645.0
14,70,642.0,227.0,664.0,645.0
15,75,647.0,301.0,656.0,643.0
16,80,651.0,238.0,636.0,647.0
17,85,641.0,279.0,646.0,648.0
18,90,648.0,264.0,648.0,650.0
19,95,646.0,247.0,661.0,647.0
20,100,650.0,306.0,643.0,649.0
21,105,657.0,239.0,642.0,659.0
22,110,642.0,285.0,650.0,649.0
23,115,641.0,261.0,642.0,645.0
24,120,644.0,236.0,647.0,641.0
25,125,645.0,297.0,644.0,641.0
26,130,650.0,227.0,648.0,636.0
27,135,641.0,297.0,648.0,648.0
28,140,641.0,248.0,656.0,648.0
29,145,648.0,260.0,651.0,640.0
30,150,647.0,281.0,642.0,650.0
31,155,646.0,235.0,653.0,641.0
32,160,648.0,290.0,643.0,649.0
33,165,649.0,246.0,647.0,650.0
34,170,651.0,248.0,653.0,651.0
35,175,651.0,307.0,636.0,647.0
36,180,655.0,247.0,645.0,650.0
37,185,642.0,292.0,659.0,645.0
38,190,644.0,259.0,641.0,657.0
39,195,640.0,265.0,647.0,641.0
40,200,648.0,271.0,642.0,648.0
41,205,661.0,239.0,638.0,656.0
42,210,644.0,294.0,652.0,653.0
43,215,649.0,246.0,645.0,651.0
44,220,645.0,246.0,653.0,652.0
45,225,644.0,306.0,644.0,646.0
46,230,649.0,236.0,643.0,639.0
47,235,640.0,295.0,644.0,665.0
48,240,646.0,257.0,640.0,647.0
49,245,650.0,250.0,647.0,650.0
50,250,646.0,291.0,653.0,650.0
51,255,639.0,238.0,641.0,641.0
52,260,636.0,295.0,658.0,647.0
53,265,652.0,255.0,647.0,640.0
54,270,657.0,250.0,650.0,646.0
55,275,627.0,300.0,661.0,635.0
56,280,654.0,240.0,644.0,661.0
57,285,628.0,273.0,642.0,639.0
58,290,646.0,255.0,652.0,657.0
59,295,646.0,251.0,650.0,644.0
60,300,652.0,309.0,641.0,656.0
61,305,660.0,242.0,639.0,647.0
62,310,644.0,324.0,660.0,654.0
63,315,659.0,252.0,640.0,668.0
64,320,638.0,255.0,643.0,639.0
65,325,639.0,293.0,634.0,645.0
66,330,646.0,239.0,648.0,643.0
67,335,655.0,293.0,657.0,640.0
68,340,649.0,254.0,644.0,645.0
69,345,650.0,247.0,649.0,644.0
70,350,650.0,307.0,642.0,649.0
71,355,648.0,222.0,662.0,643.0
72,360,638.0,292.0,657.0,664.0
73,365,658.0,255.0,653.0,645.0
74,370,644.0,244.0,650.0,643.0
75,375,649.0,304.0,641.0,662.0
76,380,635.0,241.0,659.0,652.0
77,385,645.0,263.0,658.0,650.0
78,390,637.0,227.0,643.0,643.0
79,395,644.0,250.0,648.0,644.0
80,400,647.0,294.0,649.0,648.0
81,405,648.0,268.0,641.0,655.0
82,410,645.0,317.0,655.0,643.0
83,415,651.0,245.0,642.0,637.0
84,420,640.0,258.0,646.0,651.0
85,425,642.0,284.0,643.0,646.0
86,430,657.0,222.0,645.0,650.0
87,435,651.0,295.0,651.0,649.0
88,440,652.0,249.0,664.0,651.0
89,445,641.0,250.0,644.0,640.0
90,450,647.0,298.0,643.0,654.0
91,455,650.0,230.0,639.0,650.0
92,460,645.0,304.0,650.0,647.0
93,465,641.0,251.0,642.0,655.0
94,470,647.0,234.0,638.0,649.0
95,475,645.0,304.0,654.0,648.0
96,480,643.0,238.0,658.0,640.0
97,485,647.0,306.0,646.0,646.0
98,490,642.0,247.0,642.0,650.0
99,495,633.0,255.0,651.0,642.0
100,500,644.0,325.0,680.0,639.0
101,505,654.0,242.0,652.0,646.0
102,510,647.0,307.0,639.0,654.0
103,515,646.0,229.0,643.0,644.0
104,520,657.0,250.0,652.0,641.0
105,525,647.0,291.0,675.0,651.0
106,530,645.0,234.0,651.0,639.0
107,535,645.0,305.0,647.0,657.0
108,540,641.0,230.0,646.0,633.0
109,545,639.0,226.0,647.0,661.0
110,550,646.0,288.0,652.0,637.0
111,555,657.0,241.0,642.0,643.0
112,560,656.0,302.0,645.0,647.0
113,565,646.0,228.0,642.0,656.0
114,570,639.0,270.0,651.0,633.0
115,575,646.0,291.0,630.0,646.0
116,580,652.0,246.0,640.0,637.0
117,585,649.0,298.0,645.0,634.0
118,590,642.0,239.0,646.0,636.0
119,595,643.0,256.0,652.0,655.0
120,600,645.0,286.0,650.0,657.0
121,605,642.0,228.0,650.0,642.0
122,610,646.0,306.0,649.0,651.0
123,615,649.0,255.0,651.0,642.0
124,620,639.0,254.0,635.0,635.0
125,625,652.0,297.0,650.0,648.0
126,630,647.0,242.0,649.0,647.0
127,635,650.0,308.0,653.0,655.0
128,640,657.0,262.0,641.0,642.0
129,645,639.0,260.0,641.0,655.0
130,650,649.0,286.0,636.0,643.0
131,655,648.0,243.0,643.0,651.0
132,660,649.0,299.0,637.0,647.0
133,665,657.0,236.0,636.0,647.0
134,670,649.0,251.0,647.0,638.0
135,675,648.0,279.0,640.0,657.0
136,680,646.0,232.0,651.0,645.0
137,685,647.0,304.0,651.0,647.0
138,690,649.0,214.0,653.0,653.0
139,695,635.0,253.0,647.0,635.0
140,700,650.0,285.0,631.0,647.0
141,705,651.0,250.0,666.0,651.0
142,710,644.0,298.0,638.0,651.0
143,715,646.0,236.0,640.0,640.0
144,720,658.0,255.0,645.0,643.0
145,725,638.0,282.0,642.0,650.0
146,730,646.0,245.0,651.0,662.0
147,735,641.0,320.0,649.0,646.0
148,740,654.0,229.0,644.0,650.0
149,745,650.0,278.0,654.0,643.0
150,750,644.0,282.0,645.0,644.0
151,755,649.0,237.0,650.0,650.0
152,760,647.0,313.0,646.0,647.0
153,765,651.0,233.0,649.0,641.0
154,770,647.0,245.0,649.0,645.0
155,775,639.0,281.0,649.0,646.0
156,780,648.0,250.0,642.0,644.0
157,785,644.0,314.0,641.0,645.0
158,790,653.0,250.0,654.0,649.0
159,795,647.0,256.0,662.0,648.0
160,800,640.0,272.0,640.0,653.0
161,805,645.0,238.0,640.0,653.0
162,810,646.0,314.0,658.0,657.0
163,815,659.0,237.0,643.0,640.0
164,820,642.0,267.0,645.0,654.0
165,825,650.0,284.0,653.0,648.0
166,830,648.0,246.0,645.0,648.0
167,835,649.0,307.0,644.0,648.0
168,840,650.0,236.0,650.0,645.0
169,845,637.0,253.0,647.0,649.0
170,850,644.0,273.0,645.0,651.0
171,855,646.0,247.0,643.0,650.0
172,860,652.0,315.0,648.0,657.0
173,865,652.0,229.0,645.0,653.0
174,870,641.0,270.0,639.0,642.0
175,875,649.0,282.0,643.0,642.0
176,880,636.0,239.0,648.0,650.0
177,885,646.0,317.0,657.0,646.0
178,890,656.0,232.0,653.0,662.0
179,895,649.0,266.0,629.0,644.0
180,900,647.0,256.0,632.0,665.0
181,905,649.0,242.0,648.0,650.0
182,910,650.0,309.0,631.0,644.0
183,915,647.0,235.0,663.0,646.0
184,920,642.0,264.0,651.0,646.0
185,925,650.0,261.0,646.0,663.0
186,930,640.0,257.0,649.0,651.0
187,935,643.0,314.0,628.0,649.0
188,940,650.0,249.0,645.0,649.0
189,945,638.0,252.0,665.0,649.0
190,950,646.0,266.0,650.0,655.0
191,955,645.0,249.0,658.0,642.0
192,960,646.0,310.0,668.0,642.0
193,965,643.0,245.0,643.0,647.0
194,970,634.0,262.0,656.0,646.0
195,975,631.0,265.0,631.0,657.0
196,980,638.0,248.0,651.0,648.0
197,985,648.0,298.0,644.0,659.0
198,990,656.0,229.0,657.0,647.0
199,995,643.0,263.0,647.0,632.0
