sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,648.0,236.0,654.0,645.0
1,5,643.0,252.0,631.0,646.0
2,10,642.0,278.0,650.0,636.0
3,15,647.0,234.0,632.0,640.0
4,20,648.0,305.0,643.0,645.0
5,25,634.0,244.0,668.0,661.0
6,30,641.0,245.0,640.0,645.0
7,35,641.0,270.0,638.0,644.0
8,40,647.0,235.0,668.0,643.0
9,45,648.0,298.0,641.0,648.0
10,50,640.0,233.0,637.0,649.0
11,55,648.0,254.0,638.0,642.0
12,60,639.0,287.0,645.0,646.0
13,65,644.0,249.0,625.0,657.0
14,70,647.0,308.0,639.0,645.0
15,75,631.0,237.0,647.0,653.0
16,80,643.0,260.0,647.0,636.0
17,85,638.0,262.0,654.0,642.0
18,90,651.0,247.0,642.0,657.0
19,95,650.0,296.0,651.0,652.0
20,100,654.0,229.0,644.0,644.0
21,105,650.0,261.0,660.0,643.0
22,110,655.0,264.0,646.0,643.0
23,115,644.0,243.0,657.0,645.0
24,120,646.0,307.0,641.0,651.0
25,125,650.0,224.0,650.0,645.0
26,130,642.0,269.0,649.0,646.0
27,135,636.0,272.0,644.0,650.0
28,140,647.0,246.0,634.0,654.0
29,145,649.0,322.0,649.0,651.0
30,150,653.0,196.0,657.0,638.0
31,155,645.0,263.0,641.0,644.0
32,160,646.0,274.0,652.0,656.0
33,165,645.0,265.0,647.0,651.0
34,170,652.0,298.0,659.0,640.0
35,175,655.0,223.0,657.0,644.0
36,180,648.0,272.0,644.0,646.0
37,185,647.0,271.0,654.0,644.0
38,190,653.0,246.0,644.0,648.0
39,195,648.0,295.0,637.0,647.0
40,200,649.0,231.0,650.0,620.0
41,205,643.0,276.0,630.0,654.0
42,210,641.0,263.0,647.0,645.0
43,215,644.0,240.0,629.0,651.0
44,220,642.0,310.0,655.0,641.0
45,225,643.0,249.0,660.0,644.0
46,230,649.0,274.0,649.0,646.0
47,235,654.0,259.0,649.0,632.0
48,240,646.0,242.0,648.0,655.0
49,245,649.0,303.0,654.0,651.0
50,250,642.0,237.0,644.0,658.0
51,255,649.0,276.0,646.0,644.0
52,260,640.0,273.0,648.0,643.0
53,265,644.0,255.0,649.0,642.0
54,270,642.0,306.0,644.0,648.0
55,275,646.0,244.0,640.0,646.0
56,280,650.0,284.0,646.0,654.0
57,285,637.0,270.0,655.0,648.0
58,290,645.0,252.0,640.0,649.0
59,295,651.0,299.0,642.0,642.0
60,300,655.0,240.0,654.0,648.0
61,305,655.0,280.0,637.0,654.0
62,310,647.0,250.0,643.0,649.0
63,315,636.0,239.0,650.0,636.0
64,320,649.0,301.0,640.0,649.0
65,325,637.0,240.0,658.0,646.0
66,330,648.0,289.0,642.0,639.0
67,335,643.0,269.0,650.0,645.0
68,340,633.0,250.0,640.0,636.0
69,345,638.0,308.0,645.0,651.0
70,350,649.0,236.0,650.0,653.0
71,355,644.0,252.0,649.0,658.0
72,360,645.0,251.0,628.0,644.0
73,365,645.0,244.0,653.0,640.0
74,370,648.0,328.0,642.0,645.0
75,375,652.0,246.0,652.0,653.0
76,380,649.0,277.0,650.0,649.0
77,385,640.0,278.0,648.0,642.0
78,390,637.0,218.0,638.0,656.0
79,395,647.0,315.0,640.0,646.0
80,400,647.0,239.0,641.0,650.0
81,405,648.0,281.0,641.0,651.0
82,410,645.0,262.0,643.0,653.0
83,415,640.0,256.0,639.0,665.0
84,420,644.0,302.0,657.0,638.0
85,425,645.0,236.0,647.0,654.0
86,430,645.0,277.0,657.0,656.0
87,435,641.0,260.0,646.0,638.0
88,440,647.0,245.0,628.0,644.0
89,445,651.0,313.0,657.0,631.0
90,450,643.0,237.0,663.0,651.0
91,455,647.0,268.0,646.0,653.0
92,460,645.0,261.0,660.0,649.0
93,465,643.0,249.0,629.0,653.0
94,470,649.0,303.0,644.0,649.0
95,475,645.0,249.0,647.0,652.0
96,480,649.0,299.0,646.0,628.0
97,485,652.0,275.0,653.0,646.0
98,490,650.0,258.0,634.0,641.0
99,495,644.0,300.0,651.0,656.0
100,500,647.0,224.0,617.0,630.0
101,505,662.0,277.0,628.0,644.0
102,510,648.0,262.0,644.0,642.0
103,515,647.0,226.0,658.0,646.0
104,520,655.0,298.0,661.0,651.0
105,525,644.0,238.0,638.0,641.0
