sample_index,timestamp_ms,piezo_ch0,piezo_ch1,piezo_ch2,piezo_ch3
0,0,640.0,241.0,642.0,645.0
1,5,637.0,290.0,633.0,652.0
2,10,646.0,256.0,642.0,640.0
3,15,658.0,240.0,640.0,652.0
4,20,649.0,306.0,635.0,649.0
5,25,648.0,254.0,651.0,647.0
6,30,649.0,290.0,645.0,645.0
7,35,650.0,259.0,654.0,651.0
8,40,648.0,260.0,653.0,652.0
9,45,648.0,306.0,660.0,659.0
10,50,644.0,227.0,645.0,644.0
11,55,646.0,298.0,642.0,647.0
12,60,647.0,248.0,662.0,644.0
13,65,645.0,244.0,636.0,630.0
14,70,649.0,296.0,653.0,642.0
15,75,643.0,256.0,646.0,653.0
16,80,644.0,297.0,633.0,661.0
17,85,644.0,240.0,638.0,648.0
18,90,636.0,258.0,649.0,638.0
19,95,644.0,303.0,648.0,665.0
20,100,636.0,214.0,652.0,648.0
21,105,654.0,301.0,642.0,664.0
22,110,647.0,247.0,641.0,646.0
23,115,647.0,260.0,648.0,639.0
24,120,650.0,309.0,645.0,647.0
25,125,648.0,245.0,651.0,641.0
26,130,655.0,302.0,647.0,644.0
27,135,644.0,252.0,643.0,644.0
28,140,650.0,252.0,643.0,657.0
29,145,647.0,286.0,662.0,645.0
30,150,647.0,250.0,649.0,652.0
31,155,646.0,298.0,644.0,645.0
32,160,651.0,239.0,644.0,653.0
33,165,645.0,250.0,632.0,647.0
34,170,647.0,290.0,650.0,652.0
35,175,644.0,233.0,636.0,641.0
36,180,646.0,305.0,652.0,629.0
37,185,639.0,258.0,637.0,628.0
38,190,639.0,241.0,638.0,648.0
39,195,650.0,294.0,648.0,656.0
40,200,650.0,245.0,637.0,647.0
41,205,644.0,319.0,648.0,656.0
42,210,645.0,243.0,641.0,634.0
43,215,648.0,260.0,648.0,652.0
44,220,649.0,301.0,647.0,639.0
45,225,646.0,242.0,650.0,655.0
46,230,645.0,293.0,648.0,644.0
47,235,646.0,243.0,654.0,654.0
48,240,651.0,257.0,641.0,656.0
49,245,645.0,295.0,655.0,646.0
50,250,648.0,215.0,660.0,649.0
51,255,650.0,296.0,644.0,649.0
52,260,655.0,249.0,641.0,648.0
53,265,641.0,239.0,631.0,658.0
54,270,645.0,311.0,652.0,650.0
55,275,643.0,242.0,661.0,651.0
56,280,651.0,308.0,646.0,643.0
57,285,653.0,230.0,638.0,639.0
58,290,652.0,253.0,643.0,654.0
59,295,645.0,296.0,650.0,651.0
60,300,642.0,233.0,645.0,636.0
61,305,651.0,312.0,642.0,638.0
62,310,641.0,231.0,641.0,648.0
63,315,650.0,256.0,640.0,647.0
64,320,647.0,289.0,653.0,633.0
65,325,654.0,230.0,654.0,651.0
66,330,655.0,312.0,656.0,635.0
67,335,643.0,242.0,630.0,654.0
68,340,648.0,254.0,640.0,647.0
69,345,645.0,278.0,646.0,626.0
70,350,649.0,265.0,643.0,660.0
71,355,651.0,315.0,656.0,637.0
72,360,645.0,250.0,649.0,647.0
73,365,646.0,252.0,649.0,649.0
74,370,647.0,295.0,641.0,637.0
75,375,647.0,254.0,663.0,650.0
76,380,641.0,317.0,648.0,654.0
77,385,643.0,243.0,652.0,635.0
78,390,650.0,264.0,648.0,639.0
79,395,652.0,296.0,651.0,638.0
80,400,641.0,238.0,639.0,647.0
81,405,645.0,308.0,651.0,649.0
82,410,640.0,235.0,640.0,640.0
83,415,647.0,256.0,635.0,652.0
84,420,645.0,280.0,643.0,663.0
85,425,640.0,265.0,654.0,641.0
86,430,645.0,287.0,656.0,646.0
87,435,641.0,225.0,646.0,646.0
88,440,644.0,261.0,647.0,652.0
89,445,638.0,282.0,665.0,651.0
90,450,652.0,243.0,645.0,642.0
91,455,649.0,309.0,646.0,646.0
92,460,642.0,245.0,646.0,647.0
93,465,652.0,246.0,655.0,639.0
94,470,647.0,276.0,647.0,647.0
95,475,647.0,243.0,645.0,638.0
96,480,646.0,302.0,653.0,658.0
97,485,644.0,221.0,646.0,637.0
98,490,646.0,264.0,649.0,665.0
99,495,645.0,272.0,642.0,645.0
100,500,642.0,241.0,677.0,655.0
101,505,638.0,311.0,652.0,650.0
102,510,650.0,236.0,661.0,644.0
103,515,646.0,260.0,651.0,656.0
104,520,642.0,264.0,646.0,650.0
105,525,647.0,222.0,649.0,637.0
106,530,647.0,307.0,650.0,646.0
107,535,642.0,234.0,657.0,650.0
108,540,647.0,276.0,641.0,656.0
109,545,642.0,274.0,640.0,648.0
110,550,639.0,253.0,647.0,652.0
111,555,641.0,308.0,667.0,654.0
112,560,649.0,224.0,641.0,647.0
113,565,647.0,251.0,640.0,664.0
114,570,645.0,267.0,643.0,640.0
