stat_mean,stat_std,stat_var,stat_max,stat_min,stat_range,stat_rms,stat_skewness,stat_kurtosis,stat_zero_crossings,stat_zcr,stat_peak_count,stat_peak_mean,stat_energy,stat_power,fft_total_energy,fft_sub_bass_energy,fft_sub_bass_ratio,fft_bass_energy,fft_bass_ratio,fft_low_mid_energy,fft_low_mid_ratio,fft_high_mid_energy,fft_high_mid_ratio,fft_centroid,fft_spread,fft_rolloff,fft_dominant_freq,fft_dominant_magnitude,fft_flatness,lif_low_spike_count,lif_low_spike_rate,lif_low_isi_mean,lif_low_isi_std,lif_low_isi_cv,lif_low_isi_min,lif_low_isi_max,lif_low_burst_count,lif_low_burst_ratio,lif_low_first_spike_time,lif_low_last_spike_time,lif_low_spike_duration,lif_low_potential_mean,lif_low_potential_max,lif_low_potential_std,lif_mid_spike_count,lif_mid_spike_rate,lif_mid_isi_mean,lif_mid_isi_std,lif_mid_isi_cv,lif_mid_isi_min,lif_mid_isi_max,lif_mid_burst_count,lif_mid_burst_ratio,lif_mid_first_spike_time,lif_mid_last_spike_time,lif_mid_spike_duration,lif_mid_potential_mean,lif_mid_potential_max,lif_mid_potential_std,lif_high_spike_count,lif_high_spike_rate,lif_high_isi_mean,lif_high_isi_std,lif_high_isi_cv,lif_high_isi_min,lif_high_isi_max,lif_high_burst_count,lif_high_burst_ratio,lif_high_first_spike_time,lif_high_last_spike_time,lif_high_spike_duration,lif_high_potential_mean,lif_high_potential_max,lif_high_potential_std,lif_total_spikes,lif_low_high_ratio
0.028172581668915647,0.18946984613709927,0.03589882259521607,1.0,-0.6169511943510916,1.6169511943510915,0.1915529090176074,3.2326692299168256,13.998537256405953,4.0,0.02,2.0,0.6454433260216216,7.338503390621557,0.03669251695310778,0.07496342435236641,0.052188702790570037,0.696188883736655,0.016273536602723276,0.2170863554007445,0.0020568888067985297,0.027438565164609404,0.0008229108796814551,0.010977498502677834,22.15812138908186,24.8429151573891,12.0,7.0,0.09245123810106987,0.5828717931523325,3.0,3.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.02,0.06,0.039999999999999994,-0.09740564307138054,0.2216975348871168,0.295929186618172,2.0,2.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.02,0.05,0.030000000000000002,-0.18838741503209266,0.14256858753539586,0.38750866841538917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,-0.19334562908931383,0.6869885761139913,0.3488899969813632,6.0,1.5
0.011647778825551298,0.46906753882852215,0.22002435598264714,0.9862996190083562,-1.0,1.9862996190083562,0.4692121340440975,-0.09382927170805559,-1.0262777852519291,88.0,0.44,65.0,0.615532357450217,44.03200534684323,0.22016002673421614,0.44059135646272113,0.02064800116179242,0.04686429012788188,0.056525848601502234,0.12829540970229042,0.14466140232558541,0.32833463519158235,0.1868662680303755,0.42412604161873485,46.182006453879104,24.169910918470396,70.0,25.0,0.18015291267478736,0.6420153499412126,22.0,22.0,45.714285714285715,27.004660721443475,0.590726953281576,20.0,105.0,0.0,0.0,0.015,0.975,0.96,-0.2884144871809771,0.28193731518993315,0.4645350722046087,19.0,19.0,53.05555555555556,29.586919448789118,0.557659214741575,30.0,115.0,0.0,0.0,0.02,0.975,0.955,-0.2054343631111587,0.49626945010959295,0.44887953385584617,11.0,11.0,97.5,115.6557391572074,1.1862127093046912,40.0,440.0,0.0,0.0,0.02,0.995,0.975,-0.22076946759733881,0.6923368712578377,0.5052806757458868,52.0,1.8333333333333333
0.004523787624933907,0.3552818838331566,0.12622521698003658,1.0,-0.8305365521705574,1.8305365521705574,0.3553106832541235,0.019277513585762796,-0.7135210802466281,96.0,0.48,66.0,0.47778849299849724,25.24913632690242,0.1262456816345121,0.25253133064578775,0.0027631742919779177,0.010941906827234378,0.04518823155059444,0.17894108987246202,0.07920891476348313,0.3136597527505182,0.09450302842146839,0.3742229850940771,48.0860035205981,24.35320877498443,75.0,32.0,0.11128400688528237,0.7078799753112462,19.0,19.0,51.111111111111114,21.76615336017748,0.425859522264342,20.0,85.0,0.0,0.0,0.07,0.99,0.9199999999999999,-0.20769898497907796,0.29846432887976804,0.33850477088970504,12.0,12.0,82.27272727272727,47.69046199492364,0.5796630739714476,35.0,165.0,0.0,0.0,0.08,0.985,0.905,-0.14235153699043315,0.48288565040396436,0.3610957853057329,3.0,3.0,250.0,190.0,0.76,60.0,440.0,0.0,0.0,0.485,0.985,0.5,-0.15442109564645787,0.6964010062045649,0.4285457314331584,34.0,4.75
-0.0009797489616560206,0.4084133847594237,0.16680149285064905,0.8767843885480145,-1.0,1.8767843885480144,0.4084145599249333,-0.007328964307394692,-0.7939386090010845,98.0,0.49,66.0,0.5391417517791507,33.36049055173538,0.16680245275867692,0.3335855687072661,0.004602277080456598,0.01379639142338208,0.06197455068275277,0.18578306880703063,0.1286147209012669,0.38555241271715784,0.11461131124310006,0.34357394911564176,47.55644512419132,24.126267239441894,76.0,45.0,0.14791993357615135,0.7052895890545975,20.0,20.0,47.63157894736842,26.575038795467627,0.5579289912860608,20.0,100.0,0.0,0.0,0.085,0.99,0.905,-0.27756217837315567,0.29762386573482214,0.46853233408396594,12.0,12.0,81.81818181818181,33.59333857618523,0.4105852492644862,35.0,150.0,0.0,0.0,0.085,0.985,0.9,-0.24751076677119868,0.4959601784481493,0.48031858741541505,8.0,8.0,81.42857142857143,32.37219769607046,0.39755330503946174,50.0,150.0,0.0,0.0,0.415,0.985,0.5700000000000001,-0.16484512335998275,0.678366967947646,0.506785476113079,40.0,2.2222222222222223
-0.0026079264796505263,0.3915656151285479,0.15332363095099807,1.0,-0.7440040517686698,1.7440040517686697,0.3915742997587065,0.1975894813994363,-0.8934511434008954,95.0,0.475,66.0,0.5318943800416088,30.666086446304266,0.15333043223152132,0.3066557607676559,0.004993168988447061,0.016282651838397957,0.05725534408565714,0.18670884878750724,0.11451721724210376,0.3734389887804071,0.10091533640679688,0.329083452146034,47.916480462494064,24.419179782870643,75.0,45.0,0.13939714717801707,0.7213102253781568,18.0,18.0,53.529411764705884,25.48152190269468,0.47602843114924126,20.0,115.0,0.0,0.0,0.08,0.99,0.91,-0.2812851892483772,0.280204050715099,0.41338234946543,15.0,15.0,63.92857142857143,30.890276523098166,0.4831998562272339,30.0,135.0,0.0,0.0,0.095,0.99,0.895,-0.18527610358285584,0.49672938319331716,0.4451899676502592,10.0,10.0,91.11111111111111,49.9876527964533,0.5486449697171704,45.0,190.0,0.0,0.0,0.17,0.99,0.82,-0.2325510473413431,0.6619187605273058,0.5192399385093088,43.0,1.6363636363636365
0.002032528097548346,0.375098882954804,0.14069917199394172,0.8728533540064923,-1.0,1.8728533540064922,0.37510438968960236,0.026347147092300568,-0.5235422416552744,90.0,0.45,63.0,0.49990638934995063,28.14066063288181,0.14070330316440904,0.2814029640621804,0.0037966476024129383,0.013491853626050734,0.05982519316022081,0.21259617267479056,0.09246191699065617,0.3285747798213233,0.09702929616297189,0.3448055227557986,47.39440588005813,23.907847091516345,75.0,50.0,0.15163360174213644,0.6920290751615431,18.0,18.0,56.1764705882353,34.02116174334413,0.6056123032846599,20.0,135.0,0.0,0.0,0.02,0.975,0.955,-0.2552083691247011,0.29946806899693207,0.3725276472439281,11.0,11.0,93.0,52.97169055259611,0.5695880704580226,35.0,225.0,0.0,0.0,0.035,0.965,0.9299999999999999,-0.14529491984698506,0.4863914399551925,0.35423431309236547,9.0,9.0,106.25,54.35703726289725,0.5115956448272683,45.0,225.0,0.0,0.0,0.04,0.89,0.85,-0.07277427474127945,0.682451548741615,0.35946715446068866,38.0,1.8
0.003823633973955488,0.36791035886045675,0.13535803215683007,0.9840189348856576,-1.0,1.9840189348856576,0.36793022753451077,-0.016590568989403923,0.5717830554993895,66.0,0.33,48.0,0.4987420236857886,27.07453046671937,0.13537265233359685,0.27077427094912504,0.001070579637159866,0.003953771652719681,0.009910228409633633,0.036599594087119436,0.22858437650976718,0.8441879489661571,0.02976001840433545,0.10990711299500187,38.358206387192126,20.82411497977686,27.0,26.0,0.35648931211181173,0.47935305503180997,16.0,16.0,52.0,36.09247382303777,0.6940860350584187,30.0,155.0,0.0,0.0,0.01,0.79,0.78,-0.18388710906772773,0.2967329662731113,0.3960484260217961,16.0,16.0,39.0,5.228129047119374,0.13405459095177882,30.0,50.0,0.0,0.0,0.015,0.6,0.585,0.02593994511136718,0.48692066462652583,0.1776144900439378,2.0,2.0,190.0,0.0,0.0,190.0,190.0,0.0,0.0,0.02,0.21,0.19,-0.1532454495516183,0.609672062338749,0.4634281509050385,34.0,5.333333333333333
0.0005422084928834508,0.37595906163491966,0.14134521602540934,1.0,-0.9472917687988968,1.9472917687988969,0.3759594526215016,-0.0767343785686706,0.5407824947842164,42.0,0.21,27.0,0.5221078667835938,28.26910200309182,0.1413455100154591,0.2826890237527515,0.00020906480227671944,0.0007395575513593983,0.2499458056633765,0.8841723044527174,0.02874215235035657,0.10167410095599583,0.003073515418704878,0.010872425737710375,29.261220882294797,22.892330229478503,15.0,14.0,0.3443304335342472,0.41270544777025864,9.0,9.0,73.75,2.165063509461097,0.02935679334862504,70.0,75.0,0.0,0.0,0.02,0.61,0.59,-0.4879370810795405,0.2965255134254912,0.8265327581775983,9.0,9.0,73.125,7.043392293490403,0.09631989461183457,55.0,80.0,0.0,0.0,0.02,0.605,0.585,-0.4216902977524979,0.4895106234257809,0.7868878739951112,6.0,6.0,71.0,15.620499351813308,0.22000703312413109,55.0,90.0,0.0,0.0,0.025,0.38,0.355,-0.2939025773023539,0.6324123520551338,0.6896944180908999,24.0,1.2857142857142858
0.00018524956988430263,0.37850960346054857,0.14326951991186174,0.9393413970863987,-1.0,1.9393413970863986,0.3785096487928212,-0.00270904520804502,0.4217775702800344,51.0,0.255,35.0,0.49811879152567845,28.65391084585297,0.14326955422926485,0.28653752681594113,0.00010806431400794663,0.0003771384333879885,0.25344235447986685,0.8844996926151906,0.02625859053839953,0.09164101756941168,0.004879977901892245,0.01703085091302487,33.9506258684035,23.008411921876224,18.0,17.0,0.34873490977565846,0.4187572007067237,11.0,11.0,66.0,16.55294535724685,0.250802202382528,55.0,115.0,0.0,0.0,0.02,0.68,0.66,-0.4368136907370433,0.23278265042674606,0.7093147251928547,10.0,10.0,60.55555555555556,7.617394000445604,0.1257918275302944,45.0,75.0,0.0,0.0,0.075,0.62,0.545,-0.23068081066252255,0.46534146921364183,0.542632811377648,9.0,9.0,60.625,4.635124054434789,0.07645565450614085,55.0,70.0,0.0,0.0,0.075,0.56,0.48500000000000004,-0.02897251811868229,0.6944417333041342,0.336115253273955,30.0,1.1
-0.00041617984932914545,0.3653926480625185,0.13351178725813947,1.0,-0.9459884625745186,1.9459884625745185,0.3653928850755122,0.07776253990193069,0.8601829825239968,46.0,0.23,33.0,0.5279583050747346,26.702392092761293,0.13351196046380648,0.2670241429040424,9.114395663595713e-05,0.0003413322690996421,0.23780772424379815,0.8905851042847389,0.024999410977258024,0.09362228709364143,0.0031005834388681797,0.011611622095239683,33.360569870788986,21.137750387666898,20.0,19.0,0.374834005605485,0.3619625393222628,12.0,12.0,67.27272727272727,32.359039510104886,0.48101274947453215,45.0,155.0,0.0,0.0,0.02,0.76,0.74,-0.3240802597798163,0.2847033937128375,0.5976400066121766,8.0,8.0,52.142857142857146,5.890150893739515,0.11296179796212767,45.0,60.0,0.0,0.0,0.07,0.435,0.365,-0.17149989476889801,0.4612649992593692,0.45707839080347906,12.0,12.0,53.63636363636363,4.312196809320517,0.08039688966529779,45.0,60.0,0.0,0.0,0.07,0.66,0.5900000000000001,0.01117730633901811,0.5877108912606712,0.2059240874209881,32.0,0.9230769230769231
